Year,sample_date,date,race,name,place,time_m,time_s,avg_yr_time_s,supershoe_era,frac_year,gender,elevation_gain_m,elevation_loss_m,net_elevation_m,temp_at_start_c,wind_direction,wind_mph,rainy_y_or_n,"stack data, code supershoe_era, weather variables, elevation",
2022,1-Jan,2-Oct,London,Mary Ngugi,7,2:20:22,8422,,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
2023,1-Jan,23-Apr,London,Sifan Hassan,1,2:18:33,8313,8357,1,2023.31,1,127,161,-34,12,NE,7,N,,
2023,1-Jan,23-Apr,London,Alemu Megertu,2,2:18:37,8317,,1,2023.31,1,127,161,-34,12,NE,7,N,,
2023,1-Jan,23-Apr,London,Peres jepchirchir,3,2:18:38,8318,,1,2023.31,1,127,161,-34,12,NE,7,N,,
2023,1-Jan,23-Apr,London,Sheila Chepkirui,4,2:18:51,8331,,1,2023.31,1,127,161,-34,12,NE,7,N,,
2023,1-Jan,23-Apr,London,Yalemzerf Yehualaw,5,2:18:53,8333,,1,2023.31,1,127,161,-34,12,NE,7,N,,
2023,1-Jan,23-Apr,London,Judith Jeptum Korir,6,2:20:41,8441,,1,2023.31,1,127,161,-34,12,NE,7,N,,
2023,1-Jan,23-Apr,London,Almaz Ayana,7,2:20:44,8444,,1,2023.31,1,127,161,-34,12,NE,7,N,,
2024,1-Jan,21-Apr,London,Peres Jepchirchir,1,2:16:16,8176,8293,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2024,1-Jan,21-Apr,London,Tigst Assefa,2,2:16:23,8183,,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2024,1-Jan,21-Apr,London,Joyciline Jepkosgei,3,2:16:24,8184,,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2024,1-Jan,21-Apr,London,Megertu Alemu,4,2:16:34,8194,,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2024,1-Jan,21-Apr,London,Brigid Kosgei,5,2:19:02,8342,,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2024,1-Jan,21-Apr,London,Sheila Chepkirui,6,2:19:31,8371,,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2024,1-Jan,21-Apr,London,Tigist Ketema,7,2:23:21,8601,,1,2024.31,1,127,161,-34,8,SSW,12,N,,
2010,1-Jan,26-Sep,Berlin,Aberu Kebede,1,2:23:58,8638,8852,0,2010.74,1,73,79,-6,11,E,7,Y,,
2010,1-Jan,26-Sep,Berlin,Bezunesh Bekele,2,2:24:58,8698,,0,2010.74,1,73,79,-6,11,E,7,Y,,
2010,1-Jan,26-Sep,Berlin,Tomo Morimoto,3,2:26:10,8770,,0,2010.74,1,73,79,-6,11,E,7,Y,,
2010,1-Jan,26-Sep,Berlin,Sabrina Mockenhaupt,4,2:26:21,8781,,0,2010.74,1,73,79,-6,11,E,7,Y,,
2010,1-Jan,26-Sep,Berlin,Olena Burkovsa,5,2:28:31,8911,,0,2010.74,1,73,79,-6,11,E,7,Y,,
2010,1-Jan,26-Sep,Berlin,Adriana Pirtea,6,2:30:15,9015,,0,2010.74,1,73,79,-6,11,E,7,Y,,
2010,1-Jan,26-Sep,Berlin,Adriana Da Silva,7,2:32:30,9150,,0,2010.74,1,73,79,-6,11,E,7,Y,,
2011,1-Jan,25-Sep,Berlin,Florence Kiplagat,1,2:19:44,8384,8631,0,2011.73,1,73,79,-6,14,NW,6,N,,
2011,1-Jan,25-Sep,Berlin,Irina Miketenko,2,2:22:18,8538,,0,2011.73,1,73,79,-6,14,NW,6,N,,
2011,1-Jan,25-Sep,Berlin,Paula Radcliffe,3,2:23:46,8626,,0,2011.73,1,73,79,-6,14,NW,6,N,,
2011,1-Jan,25-Sep,Berlin,Atsede Habtamu,4,2:24:25,8665,,0,2011.73,1,73,79,-6,14,NW,6,N,,
2011,1-Jan,25-Sep,Berlin,Tatyana Petrova,5,2:25:01,8701,,0,2011.73,1,73,79,-6,14,NW,6,N,,
2011,1-Jan,25-Sep,Berlin,Anna Incerti,6,2:25:32,8732,,0,2011.73,1,73,79,-6,14,NW,6,N,,
2011,1-Jan,25-Sep,Berlin,Rosaria Console,7,2:26:10,8770,,0,2011.73,1,73,79,-6,14,NW,6,N,,
2012,1-Jan,30-Sep,Berlin,Aberu Kebede,1,2:20:30,8430,8699,0,2012.75,1,73,79,-6,12,E,11,N,,
2012,1-Jan,30-Sep,Berlin,Tirfi Tsegaye,2,2:21:19,8479,,0,2012.75,1,73,79,-6,12,E,11,N,,
2012,1-Jan,30-Sep,Berlin,Olena Shurhno,3,2:23:32,8612,,0,2012.75,1,73,79,-6,12,E,11,N,,
2012,1-Jan,30-Sep,Berlin,Flomena Chepchirchir,4,2:24:56,8696,,0,2012.75,1,73,79,-6,12,E,11,N,,
2012,1-Jan,30-Sep,Berlin,Fate Tola,5,2:25:14,8714,,0,2012.75,1,73,79,-6,12,E,11,N,,
2012,1-Jan,30-Sep,Berlin,Alevtina Biktimirova,6,2:28:45,8925,,0,2012.75,1,73,79,-6,12,E,11,N,,
2012,1-Jan,30-Sep,Berlin,Caroline Chepkwony,7,2:30:34,9034,,0,2012.75,1,73,79,-6,12,E,11,N,,
2013,1-Jan,29-Sep,Berlin,Florence Kiplagat,1,2:21:13,8473,8882,0,2013.74,1,73,79,-6,9,WSW,10,N,,
2013,1-Jan,29-Sep,Berlin,Sharon Cherop,2,2:22:28,8548,,0,2013.74,1,73,79,-6,9,WSW,10,N,,
2013,1-Jan,29-Sep,Berlin,Irina Miketenko,3,2:24:54,8694,,0,2013.74,1,73,79,-6,9,WSW,10,N,,
2013,1-Jan,29-Sep,Berlin,Helah Kiprop,4,2:28:02,8882,,0,2013.74,1,73,79,-6,9,WSW,10,N,,
2013,1-Jan,29-Sep,Berlin,Desiree Davila,5,2:29:15,8955,,0,2013.74,1,73,79,-6,9,WSW,10,N,,
